Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
99	2123630763	2123630763	2123630763	2123630763	2123630763	2123630763	2123630763	2048
100	2200167434	2200167434	2200167434	2200167434	2200167434	2200167434	2200167434	2048
101	2276704105	2276704105	2276704105	2276704105	2276704105	2276704105	2276704105	2048
102	2353240776	2353240776	2353240776	2353240776	2353240776	2353240776	2353240776	2048
103	2429777447	2429777447	2429777447	2429777447	2429777447	2429777447	2429777447	2048
104	2506314118	2506314118	2506314118	2506314118	2506314118	2506314118	2506314118	2048
105	2582850789	2582850789	2582850789	2582850789	2582850789	2582850789	2582850789	2048
106	2659387460	2659387460	2659387460	2659387460	2659387460	2659387460	2659387460	2048
107	2735924131	2735924131	2735924131	2735924131	2735924131	2735924131	2735924131	2048
108	2812460802	2812460802	2812460802	2812460802	2812460802	2812460802	2812460802	2048
109	2888997473	2888997473	2888997473	2888997473	2888997473	2888997473	2888997473	2048
110	2965534144	2965534144	2965534144	2965534144	2965534144	2965534144	2965534144	2048
111	3042070815	3042070815	3042070815	3042070815	3042070815	3042070815	3042070815	2048
112	3118607486	3118607486	3118607486	3118607486	3118607486	3118607486	3118607486	2048
113	3195144157	3195144157	3195144157	3195144157	3195144157	3195144157	3195144157	2048
114	3271680828	3271680828	3271680828	3271680828	3271680828	3271680828	3271680828	2048
115	3348217499	3348217499	3348217499	3348217499	3348217499	3348217499	3348217499	2048
116	3424754170	3424754170	3424754170	3424754170	3424754170	3424754170	3424754170	2048
117	3501290841	3501290841	3501290841	3501290841	3501290841	3501290841	3501290841	2048
118	3577827512	3577827512	3577827512	3577827512	3577827512	3577827512	3577827512	2048
119	3654364183	3654364183	3654364183	3654364183	3654364183	3654364183	3654364183	2048
120	3730900854	3730900854	3730900854	3730900854	3730900854	3730900854	3730900854	2048
121	3807437525	3807437525	3807437525	3807437525	3807437525	3807437525	3807437525	2048
122	3883974196	3883974196	3883974196	3883974196	3883974196	3883974196	3883974196	2048
123	3960510867	3960510867	3960510867	3960510867	3960510867	3960510867	3960510867	2048
124	4037047538	4037047538	4037047538	4037047538	4037047538	4037047538	4037047538	2048
125	4113584209	4113584209	4113584209	4113584209	4113584209	4113584209	4113584209	2048
126	4190120880	4190120880	4190120880	4190120880	4190120880	4190120880	4190120880	2048
127	4266657551	4266657551	4266657551	4266657551	4266657551	4266657551	4266657551	2048
